,HourlyPrecipitation,HourlyRelativeHumidity,HourlyDryBulbTemperature,y,unique_id
2016-07-03 06:00:00,0.0,60.833333333333336,80.66666666666667,10.2,1.0
2016-07-03 09:00:00,0.0,40.333333333333336,91.66666666666667,10.094999999999999,1.0
2016-07-03 12:00:00,0.0,36.333333333333336,94.66666666666667,10.147499999999999,1.0
2016-07-03 15:00:00,0.0,37.666666666666664,94.66666666666667,10.0425,1.0
2016-07-03 18:00:00,0.0,54.0,85.5,10.042499999999999,1.0
2016-07-03 21:00:00,0.0,65.0,81.66666666666667,10.709166666666667,1.0
2016-07-04 00:00:00,0.0,76.83333333333333,77.83333333333333,10.095,1.0
2016-07-04 03:00:00,0.0,79.0,77.0,9.674999999999999,1.0
2016-07-04 06:00:00,0.0,75.0,80.83333333333333,9.6225,1.0
2016-07-04 09:00:00,0.0,55.333333333333336,88.0,9.6225,1.0
2016-07-04 12:00:00,0.0,44.333333333333336,93.16666666666667,10.1625,1.0
2016-07-04 15:00:00,0.0,44.666666666666664,93.0,10.100833333333334,1.0
2016-07-04 18:00:00,0.0,52.0,89.16666666666667,9.885,1.0
2016-07-04 21:00:00,0.0,70.33333333333333,82.33333333333333,9.78,1.0
2016-07-05 00:00:00,0.0,75.0,80.16666666666667,9.9375,1.0
2016-07-05 03:00:00,0.0,78.83333333333333,78.66666666666667,9.7275,1.0
2016-07-05 06:00:00,0.0,77.1111111111111,79.8888888888889,9.520000000000001,1.0
2016-07-05 09:00:00,0.0,63.833333333333336,86.05555555555556,9.37,1.0
2016-07-05 12:00:00,0.5316666666666666,84.97222222222223,76.44444444444444,9.270000000000001,1.0
2016-07-05 15:00:00,0.01,87.0,77.0,10.3275,1.0
2016-07-05 18:00:00,0.0,85.0,77.5,16.75,1.0
2016-07-05 21:00:00,0.0,87.0,76.33333333333333,22.458333333333332,1.0
2016-07-06 00:00:00,0.0,89.5,74.5,28.766666666666666,1.0
2016-07-06 03:00:00,0.0,89.33333333333333,73.33333333333333,35.94166666666666,1.0
2016-07-06 06:00:00,0.0,82.33333333333333,78.0,33.69166666666666,1.0
2016-07-06 09:00:00,0.155,67.33333333333333,83.44444444444444,30.858333333333334,1.0
2016-07-06 12:00:00,0.514,83.16666666666667,73.16666666666667,27.391666666666666,1.0
2016-07-06 15:00:00,0.0,73.0,81.66666666666667,27.583333333333332,1.0
2016-07-06 18:00:00,0.0,75.0,75.55555555555556,27.96666666666667,1.0
2016-07-06 21:00:00,0.0,81.0,74.33333333333333,26.2,1.0
2016-07-07 00:00:00,0.0,89.33333333333333,71.83333333333333,25.616666666666664,1.0
2016-07-07 03:00:00,0.0,88.66666666666667,73.66666666666667,25.8,1.0
2016-07-07 06:00:00,0.0,82.33333333333333,77.3888888888889,24.958333333333332,1.0
2016-07-07 09:00:00,0.0,63.333333333333336,85.33333333333333,24.633333333333336,1.0
2016-07-07 12:00:00,0.0,52.5,89.83333333333333,24.766666666666666,1.0
2016-07-07 15:00:00,0.0,44.0,92.33333333333333,24.566666666666666,1.0
2016-07-07 18:00:00,0.0,54.833333333333336,87.33333333333333,24.433333333333334,1.0
2016-07-07 21:00:00,0.0,63.666666666666664,82.0,23.633333333333336,1.0
2016-07-08 00:00:00,0.0,68.33333333333333,80.66666666666667,22.349999999999998,1.0
2016-07-08 03:00:00,0.0,75.0,79.0,21.474999999999998,1.0
2016-07-08 06:00:00,0.0,71.66666666666667,82.0,20.833333333333332,1.0
2016-07-08 09:00:00,0.0,58.666666666666664,89.66666666666667,20.483333333333334,1.0
2016-07-08 12:00:00,0.0,51.666666666666664,92.83333333333333,20.308333333333334,1.0
2016-07-08 15:00:00,0.0,47.0,93.33333333333333,20.075,1.0
2016-07-08 18:00:00,0.0,52.0,89.66666666666667,19.60833333333333,1.0
2016-07-08 21:00:00,0.0,63.666666666666664,85.0,18.849999999999998,1.0
2016-07-09 00:00:00,0.0,68.16666666666667,81.66666666666667,17.816666666666666,1.0
2016-07-09 03:00:00,0.0,76.33333333333333,78.0,17.400000000000002,1.0
2016-07-09 06:00:00,0.0,70.16666666666667,81.5,16.583333333333332,1.0
2016-07-09 09:00:00,0.0,56.333333333333336,90.0,16.541666666666668,1.0
2016-07-09 12:00:00,0.0,47.5,92.5,16.7,1.0
2016-07-09 15:00:00,0.0,48.666666666666664,90.66666666666667,16.95,1.0
2016-07-09 18:00:00,0.0,57.0,84.83333333333333,16.8,1.0
2016-07-09 21:00:00,0.0,67.66666666666667,77.33333333333333,17.733333333333334,1.0
2016-07-10 00:00:00,0.0,76.0,74.16666666666667,18.266666666666666,1.0
2016-07-10 03:00:00,0.0,83.66666666666667,71.66666666666667,16.733333333333334,1.0
2016-07-10 06:00:00,0.0,77.0,74.83333333333333,15.65,1.0
2016-07-10 09:00:00,0.0,63.0,83.33333333333333,15.4,1.0
2016-07-10 12:00:00,0.0,51.5,88.33333333333333,15.916666666666666,1.0
2016-07-10 15:00:00,0.0,46.333333333333336,89.66666666666667,16.475,1.0
2016-07-10 18:00:00,0.0,54.833333333333336,85.83333333333333,17.0,1.0
2016-07-10 21:00:00,0.0,69.33333333333333,79.0,16.75,1.0
2016-07-11 00:00:00,0.0,80.16666666666667,74.66666666666667,16.033333333333335,1.0
2016-07-11 03:00:00,0.0,85.0,72.66666666666667,15.9,1.0
2016-07-11 06:00:00,0.0,78.83333333333333,75.16666666666667,15.450000000000001,1.0
2016-07-11 09:00:00,0.0,62.333333333333336,82.66666666666667,15.15,1.0
